iter	Logloss
0	0.6898575459
1	0.686443252
2	0.683440326
3	0.6799737201
4	0.6770409463
5	0.6745680943
6	0.6727633282
7	0.6706343242
8	0.6672754018
9	0.6644461132
10	0.6622366289
11	0.6588122568
12	0.6566432219
13	0.6537310634
14	0.6515300755
15	0.6493060123
16	0.6475644904
17	0.6451691422
18	0.6432758729
19	0.640414625
20	0.6386676839
21	0.6361763265
22	0.6339438672
23	0.6319974646
24	0.6294740082
25	0.6274576257
26	0.6256731008
27	0.623520278
28	0.6215799207
29	0.6196380376
30	0.6176152761
31	0.6159181867
32	0.6140897587
33	0.612039174
34	0.6100187265
35	0.6089539249
36	0.6073955119
37	0.605704179
38	0.6043335925
39	0.6028317515
40	0.6012078257
41	0.5998744563
42	0.5977545272
43	0.5965628083
44	0.5951305749
45	0.5931202242
46	0.5916381398
47	0.5903222877
48	0.5891293522
49	0.5876272452
50	0.5857527728
51	0.5845474405
52	0.5831258437
53	0.5821275241
54	0.5811062831
55	0.5798380386
56	0.5786059507
57	0.5771643671
58	0.5754650826
59	0.5743567048
60	0.5730479824
61	0.5720591574
62	0.5709363733
63	0.5698897982
64	0.5689267547
65	0.5677825944
66	0.5663354131
67	0.5651890018
68	0.5641563605
69	0.5630565534
70	0.5621831043
71	0.5613171992
72	0.5602572502
73	0.5592596953
74	0.5584648375
75	0.5574801771
76	0.5565846878
77	0.5558788321
78	0.5548452945
79	0.5539149159
80	0.5527263956
81	0.5519889869
82	0.5508905096
83	0.5502772051
84	0.5495712182
85	0.5489121461
86	0.5481739486
87	0.5472752029
88	0.5463025175
89	0.5453616612
90	0.544697643
91	0.5440903993
92	0.5432365768
93	0.5425278977
94	0.5416008755
95	0.540880349
96	0.5402642879
97	0.5392484962
98	0.5385922181
99	0.5377752729
100	0.5369324143
101	0.5359906997
102	0.5351509648
103	0.5344537697
104	0.5339850026
105	0.5333017158
106	0.5330514502
107	0.532225005
108	0.5312994615
109	0.5304498595
110	0.5296403359
111	0.5288519537
112	0.5275732729
113	0.5269716612
114	0.5266840153
115	0.5256485171
116	0.5248102195
117	0.5240451238
118	0.5236157966
119	0.5230398696
120	0.5223711739
121	0.5216805702
122	0.5212805414
123	0.520817741
124	0.5202051989
125	0.5196205317
126	0.5185400426
127	0.5177026403
128	0.5168623025
129	0.5164641366
130	0.5158175502
131	0.5153497043
132	0.5147336501
133	0.5143060057
134	0.5138384694
135	0.513301138
136	0.5129762137	0.3933824065
138	0.3921068368
139	0.3909834108
140	0.3898420598
141	0.3885711837
142	0.3872477757
143	0.3866203155
144	0.3853194189
145	0.3845401273
146	0.3831734787
147	0.3817028701
148	0.3809846692
149	0.3798629248
150	0.3787425342
151	0.3774978619
152	0.3760645242
153	0.3750114052
154	0.3741258851
155	0.3729009706
156	0.371568377
157	0.37035008
158	0.3693508989
159	0.3680696582
160	0.3672309876
161	0.3660251932
162	0.3650307286
163	0.3642922509
164	0.3633575775
165	0.3625254921
166	0.3613647084
167	0.3606053688
168	0.359585397
169	0.35871699
170	0.3580196602
171	0.3569014914
172	0.355665883
173	0.3546288126
174	0.3534476115
175	0.3525596728
176	0.3520215484
177	0.3512743961
178	0.3502321383
179	0.3494891796
180	0.3483284823
181	0.3470323063
182	0.3461201062
183	0.3450548374
184	0.343852768
185	0.3430849197
186	0.341927577
187	0.3407823705
188	0.340035576
189	0.3387296239
190	0.3378384161
191	0.3368535191
192	0.3358384205
193	0.334861047
194	0.3342748353
195	0.333512335
196	0.3326702815
197	0.3315628429
198	0.3304903588
199	0.3295148352
200	0.3288802829
201	0.3279086139
202	0.3269703976
203	0.3260754974
204	0.3252601833
205	0.324283086
206	0.3238465068
207	0.3230039948
208	0.3223348244
209	0.3215029236
210	0.3209227491
211	0.3204031959
212	0.3193932404
213	0.318789124
214	0.3182104351
215	0.3176327274
216	0.3168438683
217	0.3160106701
218	0.3152963784
219	0.3144334851
220	0.3135698276
221	0.3128408416
222	0.3120424147
223	0.3111057289
224	0.3103972262
225	0.3099702873
226	0.3091849723
227	0.3084039565
228	0.308099267
229	0.3074121085
230	0.306486049
231	0.3058566552
232	0.3050616372
233	0.304225006
234	0.3035313507
235	0.3025603257
236	0.3017087654
237	0.3007835763
238	0.3001738442
239	0.299392192
240	0.2987449861
241	0.2978919507
242	0.2969118632
243	0.2962579406
244	0.2954717826
245	0.294834365
246	0.2941701229
247	0.2934474587
248	0.2926821938
249	0.2920275279
250	0.2914786056
251	0.2907365187
252	0.2899968099
253	0.2894180104
254	0.288718209
255	0.2881778296
256	0.287423906
257	0.2867478536
258	0.2860874537
259	0.2855209053
260	0.2849303053
261	0.284260985
262	0.2835479788
263	0.2825762972
264	0.2819192921
265	0.2810683827
266	0.280322198
267	0.2798691443
268	0.2792860956
269	0.2787647337
270	0.2781582818
271	0.2774258993
272	0.2768072063
273	0.2764535448
274	0.2755936093
275	0.2748233512
276	0.2742113478
277	0.2737492703
278	0.2731810457
279	0.2725345231
280	0.271698905
281	0.2709968896
282	0.2701757037
283	0.2694355729
284	0.2685143021
285	0.2679134513
286	0.2672554489
287	0.2668332198
288	0.2662116195
289	0.2656380988
290	0.2650295978
291	0.2642838341
292	0.2636379978
293	0.2628356779
294	0.2624073603
295	0.2617291246
296	0.261112417
297	0.2606156982
298	0.2601151961
299	0.2596487069
300	0.2591000317
301	0.2585654556
302	0.2578215231
303	0.2572578948
304	0.2569096084
305	0.2562766928
306	0.2556486807
307	0.2549945225
308	0.2544638307
309	0.2538779573
310	0.253300798
311	0.2527308168
312	0.2521726807
313	0.2517844248
314	0.2513764935
315	0.2509892727
316	0.2504584743
317	0.2503462255
318	0.2497505468
319	0.2492480184
320	0.2486953149
321	0.2481160307
322	0.2476619662
323	0.2469348859
324	0.2464029549
325	0.2459155368
326	0.2453484806
327	0.2447157788
328	0.2443147343
329	0.243949599
330	0.2433538138
331	0.2428253178
332	0.2423499025
333	0.2418022672
334	0.2413447273
335	0.2408037216
336	0.2404972613
337	0.24005756
338	0.2393056041
339	0.2388615903
340	0.2385057154
341	0.2382908141
342	0.2377868163
343	0.2373713731
344	0.2369305252
345	0.2364752486
346	0.2360628085
347	0.2355764425
348	0.2350801478
349	0.2347297794
350	0.2342427429
351	0.2337495094
352	0.2334645505
353	0.2329967499
354	0.2325302711
355	0.2322345404
356	0.2318069832
357	0.2315142309
358	0.2309398484
359	0.2303443606
360	0.2299110605
361	0.2293928894
362	0.2289278686
363	0.2285713587
364	0.2282153967
365	0.227670207
366	0.2272715139
367	0.2268119694
368	0.2263584565
369	0.2261647733
370	0.2256674231
371	0.2252379788
372	0.2247718886
373	0.2242433783
374	0.2236769421
375	0.2230174345
376	0.2225720592
377	0.2220616959
378	0.2216554717
379	0.2212504165
380	0.2207622336
381	0.2203733556
382	0.2199399396
383	0.2195378921
384	0.2189878885
385	0.2184359283
386	0.2180843197
387	0.2176862873
388	0.2173747446
389	0.2167866541
390	0.2165003999
391	0.2160778757
392	0.2156851403
393	0.2151692252
394	0.2146241873
395	0.2143973202
396	0.2139577573
397	0.2136374981
398	0.2133465233
399	0.2128432278
400	0.2126100236
401	0.2122686672
402	0.2119667765
403	0.2115067047
404	0.2110429734
405	0.2106616458
406	0.210307579
407	0.2098293516
408	0.2091502582
409	0.2086587865
410	0.2080965237
411	0.2077227971
412	0.2071703424
413	0.206876884
414	0.206549447
415	0.2061302844
416	0.2056292348
417	0.205301644
418	0.2049039608
419	0.2045114677
420	0.2041403697
421	0.2038621593
422	0.2034757325
423	0.2031666611
424	0.2028980623
425	0.2023901845
426	0.2018990824
427	0.2016117583
428	0.2011015
429	0.2006792344
430	0.2003197683
431	0.1998590032
432	0.1996612701
433	0.1993818411
434	0.1989554798
435	0.1984259293
436	0.1979128496
437	0.1975876558
438	0.1970817763
439	0.1966244622
440	0.1961631846
441	0.195762456
442	0.1955991297
443	0.1952423573
444	0.1948579387
445	0.1944243139
446	0.1939887614
447	0.1935358399
448	0.1930867682
449	0.1927199306
450	0.1923947359
451	0.1921629201
452	0.191783665
453	0.1914108513
454	0.1909564827
455	0.1904616971
456	0.1900505809
457	0.1896486296
458	0.1894959446
459	0.189035515
460	0.1887638649
461	0.1883156094
462	0.1880249892
463	0.1876372012
464	0.1874599976
465	0.1871670391
466	0.1867126305
467	0.1864144066
468	0.1860230043
469	0.1855504871
470	0.1851427564
471	0.1848420674
472	0.1844423705
473	0.1842019549
474	0.1838781655
475	0.1835030425
476	0.1832590946
477	0.182947524
478	0.1825922792
479	0.1821989096
480	0.1818060839
481	0.1815223121
482	0.1812404989
483	0.1808684091
484	0.1805409636
485	0.1801794345
486	0.1798823001
487	0.179551641
488	0.1791567131
489	0.1788997062
490	0.1785018784
491	0.1782579218
492	0.177839073
493	0.1775010556
494	0.1771900994
495	0.1768580816
496	0.1764228677
497	0.1761627195
498	0.1758428821
499	0.1754942513
500	0.1751650827
501	0.1748700464
502	0.1746177365
503	0.1742283996
504	0.1739161773
505	0.1735953696
506	0.173246903
507	0.1729449148
508	0.1726199699
509	0.172294304
510	0.1718882734
511	0.1715865667
512	0.1712945595
513	0.1710019185
514	0.1707642163
515	0.1704480301
516	0.1701639213
517	0.1698043892
518	0.1694711646
519	0.1691546187
520	0.1689654282
521	0.1686313309
522	0.1683436424
523	0.1680917758
524	0.1678027561
525	0.167442908
526	0.1672018078
527	0.1668872158
528	0.1666099748
529	0.1662690917
530	0.1659427067
531	0.1656252873
532	0.1652247405
533	0.1648602928
534	0.1644406538
535	0.164236404
536	0.164032553
537	0.1636302952
538	0.163371382
539	0.1629936134
540	0.1627474844
541	0.1624190416
542	0.1621360119
543	0.1617908952
544	0.1614582
545	0.1612038856
546	0.1609266265
547	0.1606856746
548	0.1603998675
549	0.1601474256
550	0.159992125
551	0.1597952532
552	0.1595347681
553	0.159296891
554	0.1589911004
555	0.1588042028
556	0.1585719648
557	0.1582364949
558	0.1580063335
559	0.1578500251
560	0.1575588641
561	0.1573490309
562	0.1570976762
563	0.156890149
564	0.1565750996
565	0.1563595929
566	0.1560525073
567	0.1557029779
568	0.1554539342
569	0.1553007769
570	0.1549795141
571	0.1547027133
572	0.1544468076
573	0.1541674341
574	0.1539272323
575	0.1536367532
576	0.1533984429
577	0.1531138257
578	0.1528558134
579	0.1526116616
580	0.1523459345
581	0.1520872635
582	0.1518185226
583	0.151534698
584	0.1512399006
585	0.1511385251
586	0.1508772011
587	0.1506373576
588	0.1503835114
589	0.1501306005
590	0.1499025855
591	0.1495557522
592	0.1493600788
593	0.1490888468
594	0.1488736989
595	0.1486007921
596	0.148304453
597	0.1480272943
598	0.1477931932
599	0.147539746
600	0.1472804249
601	0.1470737343
602	0.146897237
603	0.1465571117
604	0.1462785182
605	0.1460745567
606	0.1457933116
607	0.1455286936
608	0.1452304255
609	0.1449856156
610	0.1446973812
611	0.144475068
612	0.1442499881
613	0.1439877053
614	0.1437427964
615	0.1435032562
616	0.1432946862
617	0.142989506
618	0.1427730105
619	0.1425782782
620	0.1422792525
621	0.142060194
622	0.1417853421
623	0.1415535042
624	0.1413401784
625	0.141129307
626	0.1408676757
627	0.1406184529
628	0.1403819188
629	0.1401191435
630	0.1399142134
631	0.1396096323
632	0.1394609437
633	0.1392725512
634	0.1390312411
635	0.1388110379
636	0.138637519
637	0.1384343421
638	0.1382225466
639	0.138074991
640	0.1377667441
641	0.1375809215
642	0.1372965301
643	0.1371561421
644	0.1369277085
645	0.1366956339
646	0.1366142254
647	0.1363873272
648	0.1362821148
649	0.1360144931
650	0.1358960145
651	0.1356121476
652	0.1354395699
653	0.1351974498
654	0.1350725169
655	0.1348317969
656	0.1347207012
657	0.1344692038
658	0.1341964999
659	0.1340386118
660	0.1338864194
661	0.1337221861
662	0.1334615349
663	0.1332547412
664	0.132959388
665	0.1327841528
666	0.1326026556
667	0.1323365801
668	0.1320929288
669	0.1318796927
670	0.1316140991
671	0.1314698422
672	0.131231917
673	0.131042958
674	0.1308518006
